feature,importance
early_erosion,132693.76128157973
months_postgx,60080.93090099096
vol_cv,28533.536580592394
vol_stability,27090.27638502419
n_gxs,24674.30345198512
hospital_rate,23216.441192671657
ratio_last_3,18583.515910610557
vol_momentum_12m,18133.98301796615
vol_trend_12m,15955.213340863585
vol_trend_24m,15769.636396348476
vol_momentum_6m,13726.930982202291
avg_vol,13689.188346892595
vol_std,9619.567960456014
ther_area,8432.971489161253
month,5287.732342645526
n_gxs_at_entry,5074.094948872924
main_package,3514.662405103445
ratio_last_6,1391.3982153981924
small_molecule,1313.1965693831444
ratio_last_12,0.0
